Nombre,Compositor,Artista/Banda,URL,Año
"Tú, sólo tú",Felipe Valdés Leal,Pedro Infante,https://www.letras.com/pedro-infante/1845576/,1950
La múcura,Antonio Fuentes,Los Panchos,https://www.letras.com/trio-los-panchos/872309/,1950
Pobre corazón,Chucho Monge,Pedro Infante,https://www.cancioneros.com/letras/cancion/1870378/pobre-corazon-pedro-infante,1950
Qué rico mambo,Dámaso Pérez Prado,Dámaso Pérez Prado,https://genius.com/Perez-prado-que-rico-el-mambo-lyrics,1950
Viajera,Luis Arcaraz,Luis Arcaraz,https://www.musica.com/letras.asp?letra=1058022,1950
Quinto patio,Luis Arcaraz,Luis Arcaraz,https://www.letras.com/javier-solis/1132020/,1950
Soy feliz,Juan Bruno Tarraza,María Victoria,https://www.musixmatch.com/es/letras/Maria-Victoria/Soy-feliz,1950
Ella,José Alfredo Jimenez,"Miguel Aceves Mejia
Pedro Infante",https://www.letras.com/jimenez-jose-alfredo/19941/,1950
El fronterizo,Los Cuates Castilla,Pedro Infante,https://www.cancioneros.com/letras/cancion/666868/el-fronterizo-pedro-infante,1951
Ella,José Alfredo Jimenez,"Miguel Aceves Mejia
Pedro Infante",https://www.letras.com/jimenez-jose-alfredo/19941/,1951
Usted,Gabriel Ruiz & José Antonio Zorrilla	,Los Tres Diamantes,https://www.letras.com/los-tres-diamantes/usted/,1951
Cuando el destino,José Alfredo Jiménez,"Miguel Aceves Mejia
Pedro Infante",https://www.letras.com/jimenez-jose-alfredo/343521/,1951
Carta a Eufemia,Rubén Fuentes & Rubén Méndez	,Pedro Infante,https://www.letras.com/pedro-infante/910647/,1951
Carta a Eufemia,Rubén Fuentes & Rubén Méndez,Pedro Infante,https://www.letras.com/pedro-infante/910647/,1952
"Amor, qué malo eres",Luis Marquetti,"Lucho Gatica
Los Tres Diamantes
Pedro Vargas",https://www.letras.com/la-sonora-santanera/amor-que-malo-eres/,1952
El plebeyo,Felipe Pinglo Alva,"Fernando Fernández
Pedro Infante",https://www.letras.com/pedro-infante/el-plebeyo/,1952
Nube gris,Eduardo Márquez Talledo,Pedro Infante,https://www.letras.com/pedro-infante/1137291/,1952
Peso sobre peso,Chava Flores,Pedro Infante,https://www.letras.com/pedro-infante/919129/,1952
Pénjamo,Rubén Méndez,Pedro Infante,https://www.letras.com/la-hija-del-mariachi/1535368/,1952
Tu recuerdo y yo,José Alfredo Jiménez,"Miguel Aceves Mejia
Pedro Infante",https://www.letras.com/pedro-infante/1910282/,1952
Tu recuerdo y yo,José Alfredo Jiménez,"Miguel Aceves Mejia
Pedro Infante",https://www.letras.com/pedro-infante/1910282/,1953
Piel canela,Bobby Capó,"Bobby Capó
Lucho Gatica
Pedro Vargas",https://www.letras.com/trio-los-panchos/1153972/,1953
El jinete,José Alfredo Jiménez,Jorge Negrete,https://www.letras.com/jorge-negrete/el-jinete/,1953
Anna (El Negro Zumbón),R. Vatro,Dámaso Pérez Prado,https://www.letras.com/martini-pink/524262/,1953
Candilejas,Charles Chaplin,Los Tecolines,https://www.letras.com/julio-iglesias/570848/,1953
Vaya con Dios,"Larry Russell, Inez James & Buddy Pepper","Pedro Infante
Nat King Cole",https://www.cancioneros.com/letras/cancion/1779276/vaya-con-dios-pedro-infante,1953
Ruega por nosotros,Alberto Cervantes & Rubén Fuentes,"Miguel Aceves Mejia
Pedro Infante
Lucho Gatica",https://www.letras.com/miguel-aceves-mejia/1216047/,1953
Ruega por nosotros,Alberto Cervantes & Rubén Fuentes,"Miguel Aceves Mejia
Pedro Infante
Lucho Gatica",https://www.letras.com/miguel-aceves-mejia/1216047/,1954
Cien años,Alberto Cervantes & Rubén Fuentes,"Pedro Infante
Hermanos Martinez",https://www.letras.com/pedro-infante/421497/,1954
Contigo en la distancia,César Portillo de la Luz,"Lucho Gatica
Pedro Infante
",https://www.letras.com/luis-miguel/26129/,1954
Tres días,Tomás Méndez,Lola Beltrán,https://www.letras.com/lola-beltran/855256/,1954
Espinita,Nico Jiménez,"Ana María Gonzáles
Virginia López
Trío los Panchos",https://www.letras.com/trio-los-panchos/925001/,1954
Mil besos,Ema Elena Valdelamar,María Victoria,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1955
"Dime de quién es tu 
corazón",José de Jesús Morales,Los Cuatro Soles,https://www.musixmatch.com/es/letras/Maria-Victoria/Mil-besos,1955
Mi último fracaso,Alfredo Gil,Trío los Panchos,https://www.letras.com/pedro-infante/mi-ultimo-fracaso/,1955
Un mundo raro,José Alfredo Jiménez,"Pedro Infante
",https://www.letras.com/pedro-infante/un-mundo-raro/,1955
Rogaciano,Valeriano Trejo,Miguel Aceves Mejía,https://www.letras.com/miguel-aceves-mejia/1238969/,1955
La enramada,Graciela Olmos,Los Tres Ases,https://www.letras.com/trio-los-panchos/872308/,1955
Historia de un amor,Carlos Almarán	,"Libertad Lamarque
Los Tres Ases",https://www.letras.com/trio-los-panchos/254131/,1955
Historia de un amor,Carlos Almarán,"Libertad Lamarque
Los Tres Ases",https://www.letras.com/trio-los-panchos/254131/,1956
No me platiques más,Vicente Garrido,Lucho Gatica,https://www.letras.com/luis-miguel/68396/,1956
"Grítenme, piedras del campo",Cuco Sánchez,Miguel Aceves Mejía / Amalia Mendoza / Rosita Quintana,https://www.letras.com/miguel-aceves-mejia/1239000/,1956
