,Nombre,Compositor,Artista/Banda,URL,Año,Letra
0,"Tú, sólo tú",Felipe Valdés Leal,Pedro Infante,https://www.letras.com/pedro-infante/1845576/,1950,"Míra como ando mujer por tu quererBorracho y apasionado nomás por tu amorMíra como ando mi biénMuy dado a la borrachera y a la perdición.Tú solo túHas llenado de luto, mi vidaAbriendo una herida en mi corazón.Tú solo túEres causa de todo mi llantoDe mi desencanto y deseperación.Solo tu sombra fatal, sombra del malMe sigue por dondequiera con obstinación.Y por quererte olvidarMe tiro a la borrachera y a la perdición.Tú solo túHas llenado de luto, mi vidaAbriendo una herida en mi corazón.Tú solo túEres causa de todo mi llantoDe mi desencanto y deseperación."
1,La múcura,Antonio Fuentes,Los Panchos,https://www.letras.com/trio-los-panchos/872309/,1950,"La mucura está en el sueloAy mama no puedo con ellaMe la llevo a la cabezaAy mama no puedo con ellaLa mucura está en el sueloAy mama no puedo con ellaMe la llevo a la cabezaAy mama no puedo con ellaEs que no puedo con ellaMama no puedo con ellaEs que no puedo con ellaMama no puedo con ellaMuchacha, si tú no puedesCon esa mucura de aguaPa' que te ayude a cargarlaMuchacha, ay, llama a San PedroY es que no puedo con ellaMamá, no puedo con ellaMamá, no puedo con ellaY es que no puedo con ellaMuchacha, quien te rompióTu mucurita de barroFue Pedro que me ayudóAy, pa' qué me hiciste llamarloY es que no puedo con ellaMamá, no puedo con ellaMamá, no puedo con ellaEs que no puedo con ella"
2,Pobre corazón,Chucho Monge,Pedro Infante,https://www.cancioneros.com/letras/cancion/1870378/pobre-corazon-pedro-infante,1950,"Corazón tu dirás lo que hacemos Lo que resolvemos Nomas quiero que marques el paso Que no le hagas caso, si las ves llorar Que no te oiga que lates tan fuerte No sea que con suerte Vaya a creer que le estamos rogando Que andamos buscando volver a empezar Ay corazón Mas vale así Nomas no te sobresaltes Que si me fallas Pues ya perdí Corazón mas si acaso no puedes Si caes en sus redes Te aconsejo que tengas paciencia Sera tu sentencia sufrir y callar Mas como la paciencia se acaba Prepara una daga Por si acaso el destino te falla Te pinta una raya que no has de brincar Ay corazón Mas vale así Nomas no te sobresaltes Que si me fallas Pues ya perdí."
3,Qué rico mambo,Dámaso Pérez Prado,Dámaso Pérez Prado,https://genius.com/Perez-prado-que-rico-el-mambo-lyrics,1950,"Huh! Huh! Aaaaaah! Huh! Mambo, que rico Mambo Mambo, que rico es es es! Mambo, que rico Mambo Mambo, que rico es es es! Huh! Aaaaaah! Huh!"
4,Viajera,Luis Arcaraz,Luis Arcaraz,https://www.musica.com/letras.asp?letra=1058022,1950,"Viajera que vas por cielo y por mar Dejando en los corazones Latir de pasión, vibrar de canción Y luego mil decepciones.A mi me toco, quererte también Besarte y después perderte Dios quiera que al fin te canses de andar Y entonces quieras quedarte. No se que será sin verte No se que vendrá después No se si podré olvidarte No se si me moriré. Mi luna y mi sol irán tras de ti unidos con mis canciones diciéndote ven regresa otra vez no rompas mas corazones."
5,Quinto patio,Luis Arcaraz,Luis Arcaraz,https://www.letras.com/javier-solis/1132020/,1950,Por vivir en quinto patiodesprecias mis besosun cariño verdaderosin mentiras ni maldad.El amor cuando es sincerose encuentra lo mismoen las torres de un castilloque en mi humilde vecindad.Nada me importaque critiquen la humildadde mi cariñoel dinero no es la vidaes tan sólo vanidad.Y aunque ahora no me quierasyo se que algún díame darás con tu cariñotoda la felicidad.Nada me importaque critiquen la humildadde mi cariñoel dinero no es la vidaes tan sólo vanidad
6,Soy feliz,Juan Bruno Tarraza,María Victoria,https://www.musixmatch.com/es/letras/Maria-Victoria/Soy-feliz,1950,"No es aventura ni capricho Ni dulce sueño de ilusión Si ya por fin unimos Dos almas en un solo corazón Es que estoy Tan enamorada Como nunca lo había estado En mi corazón hay fiesta Soy dichosa, soy feliz Tus miradas me parecen Dos luceros que se acercan Que se acercan y me besan Con un beso nada más Es que al fin la vida quizo Que pudiera yo tener Un amor tan verdadero Que es mi dicha y mi ilusión Pero es que estoy Tan enamorada Como nunca lo habia estado En mi corazón hay fiesta Soy dichosa, soy feliz."
7,Ella,José Alfredo Jimenez,"Miguel Aceves Mejia
Pedro Infante",https://www.letras.com/jimenez-jose-alfredo/19941/,1950,"Me cansé de rogarle, me cansé de decirleQue yo sin ella de pena mueroYa no quiso escucharme si sus labios se abrieronFue pa' decirme ya no te quieroYo sentí que mi vida se perdía en un abismo profundoY negro como mi suerteQuise hallar el olvido al estilo Jalisco(No te rajes) pero aquellos mariachisY aquel tequila me hicieron llorarMe cansé de rogarle, con el llanto en los ojos alcé mi copaY brindé con ella, no podía despreciarmeEra el último brindis de un bohemio con una reinaLos mariachis callaronDe mi mano sin fuerza cayó mi copa sin darme cuentaElla quiso quedarse cuando vio mi tristezaPero ya estaba escrito que aquella noche perdiera su amor."
8,El fronterizo,Los Cuates Castilla,Pedro Infante,https://www.cancioneros.com/letras/cancion/666868/el-fronterizo-pedro-infante,1951,Quien tuviera un airoplano Quien tuviera un airoplano Pa’ de un volido llegar Donde se encuentra la que amo Donde se encuentra la que amo Para llevarla a pasear. Quisiera ser hombre rico Quisiera ser hombre rico Para gastar mi dinero En comprale muchas cosas En comprale muchas cosas A la joven que yo quiero. Quisiera ser comerciante Quisiera ser comerciante Y estar bien establecido Para ganarme cien gramos Para ganarme cien gramos Lo que se gana en un kilo. Quisiera ser General Quisiera ser General Pa’ andar siempre bien vestido Para que no me haga menos Para que no me haga menos El que sea mas presumido. Pero es tan solo que pido Pero es tan solo que pido Que no lo puedo lograr Y mientras canto otra cosa Y mientras canto otra cosa Aquí le voy a mochar.
9,Ella,José Alfredo Jimenez,"Miguel Aceves Mejia
Pedro Infante",https://www.letras.com/jimenez-jose-alfredo/19941/,1951,"Me cansé de rogarle, me cansé de decirleQue yo sin ella de pena mueroYa no quiso escucharme si sus labios se abrieronFue pa' decirme ya no te quieroYo sentí que mi vida se perdía en un abismo profundoY negro como mi suerteQuise hallar el olvido al estilo Jalisco(No te rajes) pero aquellos mariachisY aquel tequila me hicieron llorarMe cansé de rogarle, con el llanto en los ojos alcé mi copaY brindé con ella, no podía despreciarmeEra el último brindis de un bohemio con una reinaLos mariachis callaronDe mi mano sin fuerza cayó mi copa sin darme cuentaElla quiso quedarse cuando vio mi tristezaPero ya estaba escrito que aquella noche perdiera su amor"
